,SerialNo,Movie Name,Year of release,Run time,Movie Rating,Metascore,Votes,Gross collection in millions,Description,Director,Star
177,178,Casino,1995,178,8.2,73.0,516015,42.44,"A tale of greed, deception, money, power, and murder occur between two best friends: a mafia enforcer and a casino executive compete against each other over a gambling empire, and over a fast-living and fast-loving socialite.",Martin Scorsese,"['Robert De Niro, Sharon Stone, Joe Pesci, James Woods']"
178,179,Jurassic Park,1993,127,8.2,68.0,979525,402.45,A pragmatic paleontologist touring an almost complete theme park on an island in Central America is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.,Steven Spielberg,"['Sam Neill, Laura Dern, Jeff Goldblum, Richard Attenborough']"
179,180,Unforgiven,1992,130,8.2,85.0,410371,101.16,"Retired Old West gunslinger William Munny reluctantly takes on one last job, with the help of his old partner Ned Logan and a young man, The ""Schofield Kid.""",Clint Eastwood,"['Clint Eastwood, Gene Hackman, Morgan Freeman, Richard Harris']"
180,181,Indiana Jones and the Last Crusade,1989,127,8.2,65.0,749630,197.17,"In 1938, after his father Professor Henry Jones, Sr. goes missing while pursuing the Holy Grail, Professor Henry ""Indiana"" Jones, Jr. finds himself up against Adolf Hitler's Nazis again to stop them from obtaining its powers.",Steven Spielberg,"['Harrison Ford, Sean Connery, Alison Doody, Denholm Elliott']"
181,182,Die Hard,1988,132,8.2,72.0,869728,83.01,An NYPD officer tries to save his wife and several others taken hostage by German terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.,John McTiernan,"['Bruce Willis, Alan Rickman, Bonnie Bedelia, Reginald VelJohnson']"
182,183,Ran,1985,162,8.2,96.0,125455,4.14,"In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn on each other...and him.",Akira Kurosawa,"['Tatsuya Nakadai, Akira Terao, Jinpachi Nezu, Daisuke Ryû']"
183,184,The Thing,1982,109,8.2,57.0,420077,13.78,A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.,John Carpenter,"['Kurt Russell, Wilford Brimley, Keith David, Richard Masur']"
184,185,Raging Bull,1980,129,8.2,89.0,352404,23.38,"The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it.",Martin Scorsese,"['Robert De Niro, Cathy Moriarty, Joe Pesci, Frank Vincent']"
185,186,The Elephant Man,1980,124,8.2,78.0,240453,154.0,"A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous façade, there is revealed a person of kindness, intelligence and sophistication.",David Lynch,"['Anthony Hopkins, John Hurt, Anne Bancroft, John Gielgud']"
186,187,Taxi Driver,1976,114,8.2,94.0,821056,28.26,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action.",Martin Scorsese,"['Robert De Niro, Jodie Foster, Cybill Shepherd, Albert Brooks']"
