,SerialNo,Movie Name,Year of release,Run time,Movie Rating,Metascore,Votes,Gross collection in millions,Description,Director,Star
245,246,Mary and Max.,2009,92,8.1,62.28,177099,202.0,"A tale of friendship between two unlikely pen pals: Mary, a lonely, eight-year-old girl living in the suburbs of Melbourne, and Max, a forty-four-year old, severely obese man living in New York.",Adam Elliot,"['Toni Collette, Philip Seymour Hoffman, Eric Bana, Barry Humphries']"
246,247,How to Train Your Dragon,2010,98,8.1,75.0,734274,217.58,"A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed.","Dean DeBlois, Chris Sanders","['Jay Baruchel, Gerard Butler, Christopher Mintz-Plasse, Craig Ferguson']"
247,248,Chak De! India,2007,153,8.1,68.0,80420,1.11,"Kabir Khan, the coach of the Indian Women's National Hockey Team, dreams of making his all-girls team emerge victorious against all odds.",Shimit Amin,"['Shah Rukh Khan, Vidya Malvade, Sagarika Ghatge, Shilpa Shukla']"
248,249,Into the Wild,2007,148,8.1,73.0,620391,18.35,"After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska to live in the wilderness. Along the way, Christopher encounters a series of characters that shape his life.",Sean Penn,"['Emile Hirsch, Vince Vaughn, Catherine Keener, Marcia Gay Harden']"
249,250,Rang De Basanti,2006,167,8.1,62.28,119104,2.2,"The story of six young Indians who assist an English woman to film a documentary on the freedom fighters from their past, and the events that lead them to relive the long-forgotten saga of freedom.",Rakeysh Omprakash Mehra,"['Aamir Khan, Soha Ali Khan, Siddharth, Sharman Joshi']"
250,251,Million Dollar Baby,2004,132,8.1,86.0,684262,100.49,A determined woman works with a hardened boxing trainer to become a professional.,Clint Eastwood,"['Hilary Swank, Clint Eastwood, Morgan Freeman, Jay Baruchel']"
251,252,Hotel Rwanda,2004,121,8.1,79.0,354997,23.53,"Paul Rusesabagina, a hotel manager, houses over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda, Africa.",Terry George,"['Don Cheadle, Sophie Okonedo, Joaquin Phoenix, Xolani Mali']"
252,253,Ratatouille,2007,111,8.1,96.0,726950,206.45,A rat who can cook makes an unusual alliance with a young kitchen worker at a famous Paris restaurant.,"Brad Bird, Jan Pinkava","['Brad Garrett, Lou Romano, Patton Oswalt, Ian Holm']"
253,254,Before Sunset,2004,80,8.1,90.0,262879,5.82,"Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour.",Richard Linklater,"['Ethan Hawke, Julie Delpy, Vernon Dobtcheff, Louise Lemoine Torrès']"
254,255,Black,2005,122,8.1,62.28,35040,0.73,"The cathartic tale of a young woman who can't see, hear, or speak, and the teacher who brings a ray of light into her dark world.",Sanjay Leela Bhansali,"['Amitabh Bachchan, Rani Mukerji, Shernaz Patel, Ayesha Kapoor']"
255,256,Munna Bhai M.B.B.S.,2003,156,8.1,62.28,82035,75.62454999999994,A gangster sets out to fulfill his father's dream of becoming a doctor.,Rajkumar Hirani,"['Sanjay Dutt, Arshad Warsi, Gracy Singh, Boman Irani']"
256,257,Salinui chueok,2003,131,8.1,82.0,181257,0.01,"In a small Korean province in 1986, two detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit.",Bong Joon Ho,"['Song Kang-ho, Kim Sang-kyung, Roe-ha Kim, Jae-ho Song']"
257,258,Pirates of the Caribbean: The Curse of the Black Pearl,2003,143,8.1,63.0,1117562,305.41,"Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead.",Gore Verbinski,"['Johnny Depp, Geoffrey Rush, Orlando Bloom, Keira Knightley']"
258,259,Dil Chahta Hai,2001,183,8.1,62.28,72314,0.3,"Three inseparable childhood friends are just out of college. Nothing comes between them - until they each fall in love, and their wildly different approaches to relationships creates tension.",Farhan Akhtar,"['Aamir Khan, Saif Ali Khan, Akshaye Khanna, Preity Zinta']"
259,260,Catch Me If You Can,2002,141,8.1,75.0,967544,164.62,"Barely 21 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit.",Steven Spielberg,"['Leonardo DiCaprio, Tom Hanks, Christopher Walken, Martin Sheen']"
260,261,Her Sey Çok Güzel Olacak,1998,107,8.1,62.28,25592,75.62454999999994,"When Altan swipes prescription drugs from his brother Nuri's pharmacy, they soon find themselves on a dangerous but funny road trip to get rid of the stuff and escape the mafiosi Altan ...                See full summary »",Ömer Vargi,"['Cem Yilmaz, Mazhar Alanson, Ceyda Düvenci, Selim Nasit']"
261,262,Amores perros,2000,154,8.1,83.0,240162,5.38,"A horrific car accident connects three stories, each involving characters dealing with loss, regret, and life's harsh realities, all in the name of love.",Alejandro G. Iñárritu,"['Emilio Echevarría, Gael García Bernal, Goya Toledo, Álvaro Guerrero']"
262,263,Hera Pheri,2000,156,8.1,62.28,66766,75.62454999999994,"Three unemployed men look for answers to all their money problems - but when their opportunity arrives, will they know what to do with it?",Priyadarshan,"['Akshay Kumar, Suniel Shetty, Paresh Rawal, Tabu']"
263,264,Sarfarosh,1999,174,8.1,62.28,25817,75.62454999999994,"After his brother is killed and father severely injured by terrorists, a young med student quits his studies to join the Indian Police Service to wipe out the terrorists.",John Mathew Matthan,"['Aamir Khan, Naseeruddin Shah, Sonali Bendre, Mukesh Rishi']"
264,265,"Monsters, Inc.",2001,92,8.1,79.0,901051,289.92,"In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, two monsters realize things may not be what they think.","Pete Docter, David Silverman, Lee Unkrich","['Billy Crystal, John Goodman, Mary Gibbs, Steve Buscemi']"
265,266,Lagaan: Once Upon a Time in India,2001,224,8.1,84.0,114308,0.07,The people of a small village in Victorian India stake their future on a game of cricket against their ruthless British rulers.,Ashutosh Gowariker,"['Aamir Khan, Raghuvir Yadav, Gracy Singh, Rachel Shelley']"
266,267,Festen,1998,105,8.1,82.0,87133,1.65,"At Helge's 60th birthday party, some unpleasant family truths are revealed.",Thomas Vinterberg,"['Ulrich Thomsen, Henning Moritzen, Thomas Bo Larsen, Paprika Steen']"
267,268,The Iron Giant,1999,86,8.1,85.0,195243,23.16,A young boy befriends a giant robot from outer space that a paranoid government agent wants to destroy.,Brad Bird,"['Eli Marienthal, Harry Connick Jr., Jennifer Aniston, Vin Diesel']"
268,269,The Big Lebowski,1998,117,8.1,71.0,802767,17.5,"Ultimate L.A. slacker Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for a rug ruined by debt collectors, enlisting his bowling buddies for help while trying to find the millionaire's missing wife.","Joel Coen, Ethan Coen","['Jeff Bridges, John Goodman, Julianne Moore, Steve Buscemi']"
269,270,Fa Yeung Nin Wah,2000,98,8.1,85.0,148978,2.73,"Two neighbors form a strong bond after both suspect extramarital activities of their spouses. However, they agree to keep their bond platonic so as not to commit similar wrongs.",Kar-Wai Wong,"[""Tony Chiu-Wai Leung, Maggie Cheung, Siu Ping-Lam, Tung Cho 'Joe' Cheung""]"
270,271,Trainspotting,1996,93,8.1,83.0,683255,16.5,"Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out, despite the allure of the drugs and influence of friends.",Danny Boyle,"['Ewan McGregor, Ewen Bremner, Jonny Lee Miller, Kevin McKidd']"
271,272,Fargo,1996,98,8.1,85.0,674003,24.61,Minnesota car salesman Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.,"Joel Coen, Ethan Coen","['William H. Macy, Frances McDormand, Steve Buscemi, Peter Stormare']"
272,273,Eskiya,1996,128,8.1,62.28,70054,75.62454999999994,"Baran the Bandit, released from prison after 35 years, searches for vengeance and his lover.",Yavuz Turgul,"['Sener Sen, Ugur Yücel, Sermin Hürmeriç, Yesim Salkim']"
273,274,Underground,1995,170,8.1,79.0,58541,0.17,"A group of Serbian socialists prepares for the war in a surreal underground filled by parties, tragedies, love, and hate.",Emir Kusturica,"[""Predrag 'Miki' Manojlovic, Lazar Ristovski, Mirjana Jokovic, Slavko Stimac""]"
274,275,La haine,1995,98,8.1,62.28,172748,0.31,24 hours in the lives of three young men in the French suburbs the day after a violent riot.,Mathieu Kassovitz,"['Vincent Cassel, Hubert Koundé, Saïd Taghmaoui, Abdel Ahmed Ghili']"
275,276,Before Sunrise,1995,101,8.1,77.0,306001,5.54,"A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together.",Richard Linklater,"['Ethan Hawke, Julie Delpy, Andrea Eckert, Hanno Pöschl']"
276,277,Trois couleurs: Rouge,1994,99,8.1,100.0,103191,4.04,A model discovers a retired judge is keen on invading people's privacy.,Krzysztof Kieslowski,"['Irène Jacob, Jean-Louis Trintignant, Frédérique Feder, Jean-Pierre Lorit']"
277,278,In the Name of the Father,1993,133,8.1,84.0,174674,25.01,A man's coerced confession to an I.R.A. bombing he did not commit results in the imprisonment of his father as well. An English lawyer fights to free them.,Jim Sheridan,"['Daniel Day-Lewis, Pete Postlethwaite, Alison Crosbie, Philip King']"
278,279,Groundhog Day,1993,101,8.1,72.0,626587,70.91,"A narcissistic, self-centered weatherman finds himself in a time loop on Groundhog Day, and the day keeps repeating until he gets it right.",Harold Ramis,"['Bill Murray, Andie MacDowell, Chris Elliott, Stephen Tobolowsky']"
279,280,Ba wang bie ji,1993,171,8.1,83.0,29133,5.22,Two boys meet at an opera training school in Peking in 1924. Their resulting friendship will span nearly 70 years and will endure some of the most troublesome times in China's history.,Kaige Chen,"['Leslie Cheung, Fengyi Zhang, Gong Li, You Ge']"
280,281,Da hong deng long gao gao gua,1991,125,8.1,62.28,32816,2.6,"A young woman becomes the fourth wife of a wealthy lord, and must learn to live with the strict rules and tensions within the household.",Yimou Zhang,"['Gong Li, Jingwu Ma, Saifei He, Cuifen Cao']"
281,282,Dom za vesanje,1988,142,8.1,62.28,30861,0.28,"In this luminous tale set in the area around Sarajevo and in Italy, Perhan, an engaging young Romany (gypsy) with telekinetic powers, is seduced by the quick-cash world of petty crime, which threatens to destroy him and those he loves.",Emir Kusturica,"['Davor Dujmovic, Bora Todorovic, Ljubica Adzovic, Husnija Hasimovic']"
282,283,Dead Poets Society,1989,128,8.1,79.0,485363,95.86,Maverick teacher John Keating uses poetry to embolden his boarding school students to new heights of self-expression.,Peter Weir,"['Robin Williams, Robert Sean Leonard, Ethan Hawke, Josh Charles']"
283,284,Tonari no Totoro,1988,86,8.1,86.0,336115,1.11,"When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby.",Hayao Miyazaki,"['Hitoshi Takagi, Noriko Hidaka, Chika Sakamoto, Shigesato Itoi']"
284,285,Stand by Me,1986,89,8.1,75.0,401358,52.29,"After the death of one of his friends, a writer recounts a childhood journey with his friends to find the body of a missing boy.",Rob Reiner,"[""Wil Wheaton, River Phoenix, Corey Feldman, Jerry O'Connell""]"
285,286,Platoon,1986,120,8.1,92.0,412689,138.53,"Chris Taylor, a neophyte recruit in Vietnam, finds himself caught in a battle of wills between two sergeants, one good and the other evil. A shrewd examination of the brutality of war and the duality of man in conflict.",Oliver Stone,"['Charlie Sheen, Tom Berenger, Willem Dafoe, Keith David']"
286,287,Jean de Florette,1986,120,8.1,62.28,25991,4.94,A greedy landowner and his backward nephew conspire to block the only water source for an adjoining property in order to bankrupt the owner and force him to sell.,Claude Berri,"['Yves Montand, Gérard Depardieu, Daniel Auteuil, Elisabeth Depardieu']"
287,288,The Terminator,1984,107,8.1,84.0,858234,38.4,"A human soldier is sent from 2029 to 1984 to stop an almost indestructible cyborg killing machine, sent from the same year, which has been programmed to execute a young woman whose unborn son is the key to humanity's future salvation.",James Cameron,"['Arnold Schwarzenegger, Linda Hamilton, Michael Biehn, Paul Winfield']"
288,289,"Paris, Texas",1984,145,8.1,80.0,106126,2.18,"Travis Henderson, an aimless drifter who has been missing for four years, wanders out of the desert and must reconnect with society, himself, his life, and his family.",Wim Wenders,"['Harry Dean Stanton, Nastassja Kinski, Dean Stockwell, Sam Berry']"
289,290,Gandhi,1982,191,8.1,79.0,231323,52.77,The life of the lawyer who became the famed leader of the Indian revolts against the British rule through his philosophy of nonviolent protest.,Richard Attenborough,"['Ben Kingsley, John Gielgud, Rohini Hattangadi, Roshan Seth']"
290,291,Fanny och Alexander,1982,188,8.1,100.0,63827,4.97,"Two young Swedish children in the 1900s experience the many comedies and tragedies of their lively and affectionate theatrical family, the Ekdahls.",Ingmar Bergman,"['Bertil Guve, Pernilla Allwin, Kristina Adolphson, Börje Ahlstedt']"
291,292,Blade Runner,1982,117,8.1,84.0,763217,32.87,"A blade runner must pursue and terminate four replicants who stole a ship in space, and have returned to Earth to find their creator.",Ridley Scott,"['Harrison Ford, Rutger Hauer, Sean Young, Edward James Olmos']"
292,293,Stalker,1979,162,8.1,62.28,133840,0.23,A guide leads two men through an area known as the Zone to find a room that grants wishes.,Andrei Tarkovsky,"['Alisa Freyndlikh, Aleksandr Kaydanovskiy, Anatoliy Solonitsyn, Nikolay Grinko']"
293,294,Höstsonaten,1978,99,8.1,62.28,34474,75.62454999999994,"A devoted wife is visited by her mother, a successful concert pianist who had little time for her when she was young.",Ingmar Bergman,"['Ingrid Bergman, Liv Ullmann, Lena Nyman, Halvar Björk']"
294,295,The Deer Hunter,1978,183,8.1,86.0,338264,48.98,An in-depth examination of the ways in which the Vietnam War impacts and disrupts the lives of several friends in a small steel mill town in Pennsylvania.,Michael Cimino,"['Robert De Niro, Christopher Walken, John Cazale, John Savage']"
295,296,Rocky,1976,120,8.1,70.0,571343,117.24,A small-time Philadelphia boxer gets a supremely rare chance to fight the world heavyweight champion in a bout in which he strives to go the distance for his self-respect.,John G. Avildsen,"['Sylvester Stallone, Talia Shire, Burt Young, Carl Weathers']"
296,297,Network,1976,121,8.1,83.0,159454,221.0,"A television network cynically exploits a deranged former anchor's ravings and revelations about the news media for its own profit, but finds that his message may be difficult to control.",Sidney Lumet,"['Faye Dunaway, William Holden, Peter Finch, Robert Duvall']"
297,298,The Message,1976,177,8.1,62.28,47796,75.62454999999994,This epic historical drama chronicles the life and times of Prophet Muhammad and serves as an introduction to early Islamic history.,Moustapha Akkad,"['Anthony Quinn, Irene Papas, Michael Ansara, Johnny Sekka']"
298,299,Sholay,1975,204,8.1,62.28,55846,75.62454999999994,"After his family is murdered by a notorious and ruthless bandit, a former police officer enlists the services of two outlaws to capture the bandit.",Ramesh Sippy,"['Sanjeev Kumar, Dharmendra, Amitabh Bachchan, Amjad Khan']"
299,300,Jaws,1975,124,8.1,87.0,601277,260.0,"When a killer shark unleashes chaos on a beach community off Cape Cod, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down.",Steven Spielberg,"['Roy Scheider, Robert Shaw, Richard Dreyfuss, Lorraine Gary']"
300,301,Barry Lyndon,1975,185,8.1,89.0,167245,190.0,An Irish rogue wins the heart of a rich widow and assumes her dead husband's aristocratic position in 18th-century England.,Stanley Kubrick,"[""Ryan O'Neal, Marisa Berenson, Patrick Magee, Hardy Krüger""]"
301,302,Paper Moon,1973,102,8.1,77.0,47855,30.93,"During the Great Depression, a con man finds himself saddled with a young girl who may or may not be his daughter, and the two forge an unlikely partnership.",Peter Bogdanovich,"[""Ryan O'Neal, Tatum O'Neal, Madeline Kahn, John Hillerman""]"
302,303,The Exorcist,1973,122,8.1,81.0,402586,232.91,"When a teenage girl is possessed by a mysterious entity, her mother seeks the help of two priests to save her daughter.",William Friedkin,"['Ellen Burstyn, Max von Sydow, Linda Blair, Lee J. Cobb']"
303,304,Anand,1971,122,8.1,62.28,33893,75.62454999999994,"The story of a terminally ill man who wishes to live life to the fullest before the inevitable occurs, as told by his best friend.",Hrishikesh Mukherjee,"['Rajesh Khanna, Amitabh Bachchan, Sumita Sanyal, Ramesh Deo']"
304,305,Cool Hand Luke,1967,127,8.1,92.0,177024,16.22,"A laid back Southern man is sentenced to two years in a rural prison, but refuses to conform.",Stuart Rosenberg,"['Paul Newman, George Kennedy, Strother Martin, J.D. Cannon']"
305,306,Persona,1966,85,8.1,86.0,118403,241.0,A nurse is put in charge of a mute actress and finds that their personae are melding together.,Ingmar Bergman,"['Bibi Andersson, Liv Ullmann, Margaretha Krook, Gunnar Björnstrand']"
306,307,Andrei Rublev,1966,205,8.1,62.28,53710,0.1,"The life, times and afflictions of the fifteenth-century Russian iconographer St. Andrei Rublev.",Andrei Tarkovsky,"['Anatoliy Solonitsyn, Ivan Lapikov, Nikolay Grinko, Nikolay Sergeev']"
307,308,The Sound of Music,1965,172,8.1,63.0,233008,163.21,A young novitiate is sent by her convent in 1930s Austria to become a governess to the seven children of a widowed naval officer.,Robert Wise,"['Julie Andrews, Christopher Plummer, Eleanor Parker, Richard Haydn']"
308,309,La battaglia di Algeri,1966,121,8.1,96.0,60245,0.06,"In the 1950s, fear and violence escalate as the people of Algiers fight for independence from the French government.",Gillo Pontecorvo,"['Brahim Hadjadj, Jean Martin, Yacef Saadi, Samia Kerbash']"
309,310,The Man Who Shot Liberty Valance,1962,123,8.1,94.0,76224,75.62454999999994,A senator returns to a Western town for the funeral of an old friend and tells the story of his origins.,John Ford,"['James Stewart, John Wayne, Vera Miles, Lee Marvin']"
310,311,Jungfrukällan,1960,89,8.1,62.28,29443,1.53,"In 14th-century Sweden, an innocent yet pampered teenage girl and her family's pregnant and jealous servant set out from their farm to deliver candles to church, but only one returns from events that transpire in the woods along the way.",Ingmar Bergman,"['Max von Sydow, Birgitta Valberg, Gunnel Lindblom, Birgitta Pettersson']"
311,312,Inherit the Wind,1960,128,8.1,75.0,30370,75.62454999999994,"Based on a real-life case in 1925, two great lawyers argue the case for and against a Tennessee science teacher accused of the crime of teaching evolution.",Stanley Kramer,"['Spencer Tracy, Fredric March, Gene Kelly, Dick York']"
312,313,Les quatre cents coups,1959,99,8.1,62.28,117771,240.0,"A young boy, left without attention, delves into a life of petty crime.",François Truffaut,"['Jean-Pierre Léaud, Albert Rémy, Claire Maurier, Guy Decomble']"
313,314,Ben-Hur,1959,212,8.1,90.0,238899,74.7,"After a Jewish prince is betrayed and sent into slavery by a Roman friend in 1st-century Jerusalem, he regains his freedom and comes back for revenge.",William Wyler,"['Charlton Heston, Jack Hawkins, Stephen Boyd, Haya Harareet']"
314,315,Kakushi-toride no san-akunin,1958,139,8.1,89.0,39254,75.62454999999994,"Lured by gold, two greedy peasants unknowingly escort a princess and her general across enemy lines.",Akira Kurosawa,"['Toshirô Mifune, Misa Uehara, Minoru Chiaki, Kamatari Fujiwara']"
315,316,Smultronstället,1957,91,8.1,88.0,107329,183.0,"After living a life marked by coldness, an aging professor is forced to confront the emptiness of his existence.",Ingmar Bergman,"['Victor Sjöström, Bibi Andersson, Ingrid Thulin, Gunnar Björnstrand']"
316,317,Det sjunde inseglet,1957,96,8.1,88.0,184811,198.0,"A knight returning to Sweden after the Crusades seeks answers about life, death, and the existence of God as he plays chess against the Grim Reaper during the Black Plague.",Ingmar Bergman,"['Max von Sydow, Gunnar Björnstrand, Bengt Ekerot, Nils Poppe']"
317,318,Le notti di Cabiria,1957,110,8.1,62.28,49135,0.75,A waifish prostitute wanders the streets of Rome looking for true love but finds only heartbreak.,Federico Fellini,"['Giulietta Masina, François Périer, Franca Marzi, Dorian Gray']"
318,319,Kumonosu-jô,1957,110,8.1,62.28,52343,75.62454999999994,"A war-hardened general, egged on by his ambitious wife, works to fulfill a prophecy that he would become lord of Spider's Web Castle.",Akira Kurosawa,"['Toshirô Mifune, Minoru Chiaki, Isuzu Yamada, Takashi Shimura']"
319,320,Du rififi chez les hommes,1955,118,8.1,97.0,34517,0.06,"Four men plan a technically perfect crime, but the human element intervenes...",Jules Dassin,"['Jean Servais, Carl Möhner, Robert Manuel, Janine Darcey']"
320,321,On the Waterfront,1954,108,8.1,91.0,155012,9.6,"An ex-prize fighter turned New Jersey longshoreman struggles to stand up to his corrupt union bosses, including his older brother, as he starts to connect with the grieving sister of one of the syndicate's victims.",Elia Kazan,"['Marlon Brando, Karl Malden, Lee J. Cobb, Rod Steiger']"
321,322,Les diaboliques,1955,117,8.1,62.28,65956,1.09,The wife and mistress of a loathed school principal plan to murder him with what they believe is the perfect alibi.,Henri-Georges Clouzot,"['Simone Signoret, Véra Clouzot, Paul Meurisse, Charles Vanel']"
322,323,Ace in the Hole,1951,111,8.1,72.0,36112,3.97,"A frustrated former big-city journalist now stuck working for an Albuquerque newspaper exploits a story about a man trapped in a cave to rekindle his career, but the situation quickly escalates into an out-of-control circus.",Billy Wilder,"['Kirk Douglas, Jan Sterling, Robert Arthur, Porter Hall']"
323,324,White Heat,1949,114,8.1,62.28,33070,75.62454999999994,A psychopathic criminal with a mother complex makes a daring break from prison and leads his old gang in a chemical plant payroll heist.,Raoul Walsh,"[""James Cagney, Virginia Mayo, Edmond O'Brien, Margaret Wycherly""]"
324,325,The Third Man,1949,104,8.1,97.0,171555,0.45,"Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime.",Carol Reed,"['Orson Welles, Joseph Cotten, Alida Valli, Trevor Howard']"
325,326,The Red Shoes,1948,135,8.1,62.28,35202,10.9,A young ballet dancer is torn between the man she loves and her pursuit to become a prima ballerina.,"Michael Powell, Emeric Pressburger","['Anton Walbrook, Marius Goring, Moira Shearer, Robert Helpmann']"
326,327,The Best Years of Our Lives,1946,170,8.1,93.0,64640,23.65,"Three World War II veterans, two of them traumatized or disabled, return home to the American midwest to discover that they and their families have been irreparably changed.",William Wyler,"['Myrna Loy, Dana Andrews, Fredric March, Teresa Wright']"
327,328,Rebecca,1940,130,8.1,86.0,137118,4.36,A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.,Alfred Hitchcock,"['Laurence Olivier, Joan Fontaine, George Sanders, Judith Anderson']"
328,329,The Grapes of Wrath,1940,129,8.1,96.0,93321,0.06,"An Oklahoma family, driven off their farm by the poverty and hopelessness of the Dust Bowl, joins the westward migration to California, suffering the misfortunes of the homeless in the Great Depression.",John Ford,"['Henry Fonda, Jane Darwell, John Carradine, Charley Grapewin']"
329,330,The Wizard of Oz,1939,102,8.1,92.0,397552,2.08,"Young Dorothy Gale and her dog Toto are swept away by a tornado from their Kansas farm to the magical Land of Oz, and embark on a quest with three new friends to see the Wizard, who can return her to her home and fulfill the others' wishes.","Victor Fleming, George Cukor, Mervyn LeRoy, Norman Taurog, Richard Thorpe, King Vidor","['Judy Garland, Frank Morgan, Ray Bolger, Bert Lahr']"
330,331,Mr. Smith Goes to Washington,1939,129,8.1,73.0,115715,9.6,"A naive youth leader is appointed to fill a vacancy in the U.S. Senate. His idealistic plans promptly collide with corruption at home and subterfuge from his hero in Washington, but he tries to forge ahead despite attacks on his character.",Frank Capra,"['James Stewart, Jean Arthur, Claude Rains, Edward Arnold']"
331,332,La Grande Illusion,1937,113,8.1,62.28,36766,0.17,"During WWI, two French soldiers are captured and imprisoned in a German P.O.W. camp. Several escape attempts follow until they are eventually sent to a seemingly inescapable fortress.",Jean Renoir,"['Jean Gabin, Dita Parlo, Pierre Fresnay, Erich von Stroheim']"
332,333,It Happened One Night,1934,105,8.1,87.0,103923,4.36,"A renegade reporter trailing a young runaway heiress for a big story joins her on a bus heading from Florida to New York, and they end up stuck with each other when the bus leaves them behind at one of the stops.",Frank Capra,"['Clark Gable, Claudette Colbert, Walter Connolly, Roscoe Karns']"
333,334,All Quiet on the Western Front,1930,152,8.1,91.0,61715,3.27,"A German youth eagerly enters World War I, but his enthusiasm wanes as he gets a firsthand view of the horror.",Lewis Milestone,"['Lew Ayres, Louis Wolheim, John Wray, Arnold Lucy']"
334,335,The Circus,1928,72,8.1,90.0,33875,75.62454999999994,The Tramp finds work and the girl of his dreams at a circus.,Charles Chaplin,"['Charles Chaplin, Merna Kennedy, Al Ernest Garcia, Harry Crocker']"
335,336,Sunrise: A Song of Two Humans,1927,94,8.1,62.28,51132,0.54,"A sophisticated urban woman seduces a farmer in the hopes that he will murder his neglected wife and join her in the city, but he ends up rekindling his romance with his wife when she discovers their scheme.",F.W. Murnau,"[""George O'Brien, Janet Gaynor, Margaret Livingston, Bodil Rosing""]"
336,337,"Quo vadis, Aida?",2020,101,8.0,97.0,33268,75.62454999999994,"Aida is a translator for the UN in the small town of Srebrenica. When the Serbian army takes over the town, her family is among the thousands of citizens looking for shelter in the UN camp.",Jasmila Zbanic,"['Jasna Djuricic, Izudin Bajrovic, Boris Ler, Dino Bajrovic']"
337,338,RRR (Rise Roar Revolt),2022,187,8.0,83.0,108907,75.62454999999994,A fictitious story about two legendary revolutionaries and their journey away from home before they started fighting for their country in the 1920s.,S.S. Rajamouli,"['N.T. Rama Rao Jr., Ram Charan Teja, Ajay Devgn, Alia Bhatt']"
338,339,WolfWalkers,2020,103,8.0,87.0,32052,75.62454999999994,A young apprentice hunter and her father journey to Ireland to help wipe out the last wolf pack. But everything changes when she befriends a free-spirited girl from a mysterious tribe rumored to transform into wolves by night.,"Tomm Moore, Ross Stewart","['Honor Kneafsey, Eva Whittaker, Sean Bean, Simon McBurney']"
339,340,Contratiempo,2016,106,8.0,62.28,174824,75.62454999999994,A successful entrepreneur accused of murder and a witness preparation expert have less than three hours to come up with an impregnable defense.,Oriol Paulo,"['Mario Casas, Ana Wagener, Jose Coronado, Bárbara Lennie']"
340,341,La La Land,2016,128,8.0,94.0,580228,151.1,"While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future.",Damien Chazelle,"['Ryan Gosling, Emma Stone, Rosemarie DeWitt, J.K. Simmons']"
341,342,Lion,2016,118,8.0,69.0,235867,51.74,"A five-year-old Indian boy is adopted by an Australian couple after getting lost hundreds of kilometers from home. 25 years later, he sets out to find his lost family.",Garth Davis,"['Dev Patel, Nicole Kidman, Rooney Mara, Sunny Pawar']"
342,343,The Martian,2015,144,8.0,80.0,845163,228.43,"An astronaut becomes stranded on Mars after his team assume him dead, and must rely on his ingenuity to find a way to signal to Earth that he is alive and can survive until a potential rescue.",Ridley Scott,"['Matt Damon, Jessica Chastain, Kristen Wiig, Kate Mara']"
343,344,Mommy,2014,139,8.0,74.0,57137,3.49,"A widowed single mother, raising her violent son alone, finds new hope when a mysterious neighbor inserts herself into their household.",Xavier Dolan,"['Anne Dorval, Antoine Olivier Pilon, Suzanne Clément, Patrick Huard']"
344,345,Haider,2014,160,8.0,62.28,55154,0.9,"A young man returns to Kashmir after his father's disappearance to confront his uncle, whom he suspects of playing a role in his father's fate.",Vishal Bhardwaj,"['Shahid Kapoor, Tabu, Shraddha Kapoor, Kay Kay Menon']"
345,346,Soul,2020,100,8.0,83.0,323346,75.62454999999994,"After landing the gig of a lifetime, a New York jazz pianist suddenly finds himself trapped in a strange land between Earth and the afterlife.","Pete Docter, Kemp Powers","['Jamie Foxx, Tina Fey, Graham Norton, Rachel House']"
346,347,Zootopia,2016,108,8.0,78.0,493933,341.27,"In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy.","Byron Howard, Rich Moore, Jared Bush","['Ginnifer Goodwin, Jason Bateman, Idris Elba, Jenny Slate']"
347,348,Kis Uykusu,2014,196,8.0,88.0,51740,0.17,A hotel owner and landlord in a remote Turkish village deals with conflicts within his family and a tenant behind on his rent.,Nuri Bilge Ceylan,"['Haluk Bilginer, Melisa Sözen, Demet Akbag, Ayberk Pekcan']"
348,349,Bãhubali: The Beginning,2015,159,8.0,62.28,123903,6.74,"In ancient India, an adventurous and daring man becomes involved in a decades-old feud between two warring peoples.",S.S. Rajamouli,"['Prabhas, Rana Daggubati, Anushka Shetty, Tamannaah Bhatia']"
